,gene_ids
2710,AC020611.2
2711,AC025576.1
2712,RASSF3
2713,AC025262.1
2714,LINC02389
2715,MSRB3
2716,HMGA2
2717,GRIP1
2718,LINC01479
2719,IFNG-AS1
2720,IFNG
2721,IL26
2722,IL22
2723,LINC02384
2724,CPM
2725,AC025263.1
2726,MYRFL
2727,AC025159.1
2728,KCNMB4
2729,AC025569.1
2730,PTPRR
2731,TSPAN8
2732,TPH2
2733,CAPS2
2734,GLIPR1L2
2735,AC078923.1
2736,OSBPL8
2737,SYT1
2738,PAWR
2739,PTPRQ
2740,LIN7A
2741,PPFIA2
2742,METTL25
2743,TMTC2
2744,CEP290
2745,TMTC3
2746,LINC02458
2747,ATP2B1
2748,AC009522.1
2749,AC112481.2
2750,LINC01619
2751,AC025164.1
2752,LINC02391
2753,LINC02397
2754,EEA1
2755,AC124947.1
2756,CRADD
2757,TMCC3
2758,USP44
2759,NTN4
2760,AMDHD1
2761,CFAP54
2762,AC007656.2
2763,AC016152.1
2764,IKBIP
2765,ANKS1B
2766,SLC17A8
2767,ANO4
2768,CHPT1
2769,GNPTAB
2770,DRAM1
2771,PARPBP
2772,PMCH
2773,HELLPAR
2774,LINC02456
2775,IGF1
2776,AC068643.1
2777,C12orf42
2778,AC089983.1
2779,CHST11
2780,SLC41A2
2781,AC011313.1
2782,NUAK1
2783,CRY1
2784,BTBD11
2785,FAM222A
2786,FAM222A-AS1
2787,IFT81
2788,HVCN1
2789,CCDC63
2790,CUX2
2791,AC089999.1
2792,LINC02463
2793,AC012157.2
2794,AC125603.2
2795,KSR2
2796,SRRM4
2797,CCDC60
2798,AC002070.1
2799,BICDL1
2800,CABP1
2801,AC069234.2
2802,OASL
2803,AC048337.1
2804,LRRC43
2805,AC068768.1
2806,AC073592.1
2807,AC007368.1
2808,LINC00944
2809,AC079949.6
2810,LINC02414
2811,AC137590.2
2812,AC127070.1
2813,ZNF10
2814,TPTE2
2815,IFT88
2816,AL161772.1
2817,EEF1AKMT1
2818,AL136962.1
2819,MIPEP
2820,RNF17
2821,AMER2
2822,SHISA2
2823,CDK8
2824,USP12-AS2
2825,FLT1
2826,LINC00544
2827,KATNAL1
2828,TEX26-AS1
2829,FRY
2830,BRCA2
2831,STARD13
2832,RFC3
2833,NBEA
2834,SOHLH2
2835,CCDC169
2836,LINC00571
2837,STOML3
2838,LHFPL6
2839,COG6
2840,LINC00598
2841,LINC00332
2842,FOXO1
2843,AL354696.2
2844,VWA8
2845,DGKH
2846,LINC02341
2847,EPSTI1
2848,ENOX1
2849,SMIM2-AS1
2850,TSC22D1
2851,SIAH3
2852,CPB2
2853,LRRC63
2854,LINC00563
2855,RUBCNL
2856,AL359880.1
2857,SUCLA2-AS1
2858,RB1
2859,CAB39L
2860,DLEU2
2861,DLEU1
2862,RNASEH2B-AS1
2863,INTS6
2864,WDFY2
2865,AL356295.1
2866,DIAPH3
2867,TDRD3
2868,LINC00378
2869,LINC00355
2870,PCDH9
2871,DACH1
2872,PIBF1
2873,KLF12
2874,LINC00402
2875,AL353660.1
2876,LINC00381
2877,NDFIP2
2878,SPRY2
2879,AL162493.1
2880,MIR4500HG
2881,SLITRK5
2882,GPC5
2883,GPC6
2884,DCT
2885,SOX21-AS1
2886,AL139381.1
2887,ABCC4
2888,DNAJC3-DT
2889,UGGT2
2890,SLC15A1
2891,CLYBL
2892,PCCA
2893,NALCN-AS1
2894,NALCN
2895,FGF14
2896,CCDC168
2897,AL139379.1
2898,TNFSF13B
2899,AL138694.1
2900,MYO16
2901,AL163541.1
2902,LINC00354
2903,GRTP1-AS1
2904,LINC00452
2905,OR11G2
2906,OR4E2
2907,TRAV8-5
2908,TRAV27
2909,AC244502.1
2910,TRAV34
2911,TRDC
2912,TRAJ55
2913,TRAJ50
2914,TRAJ44
2915,TRAJ28
2916,TRAJ26
2917,TRAJ16
2918,TRAJ8
2919,TRAJ7
2920,TRAJ3
2921,LINC02332
2922,RNF212B
2923,TSSK4
2924,LTB4R2
2925,GZMH
2926,GZMB
2927,NOVA1
2928,LINC02327
2929,LINC02326
2930,AL135878.1
2931,PRKD1
2932,STRN3
2933,NUBPL
2934,AKAP6
2935,NPAS3
2936,EGLN3
2937,PRORP
2938,AL162311.1
2939,AL133304.3
2940,LINC00609
2941,AL132857.1
2942,SLC25A21
2943,AL049828.1
2944,AL049828.2
2945,LINC02315
2946,LRFN5
2947,AL049870.3
2948,TOGARAM1
2949,FANCM
2950,LINC00648
2951,AL358335.2
2952,AL139099.1
2953,AL591767.1
2954,L2HGDH
2955,ATL1
2956,TRIM9
2957,LINC00519
2958,FRMD6
2959,GNG2
2960,NID2
2961,PTGDR
2962,TXNDC16
2963,GPR137C
2964,AL139317.5
2965,AL139317.1
2966,FERMT2
2967,AL365295.1
2968,SAMD4A
2969,WDHD1
2970,FBXO34
2971,KTN1-AS1
2972,PELI2
2973,LINC02284
2974,AL391152.1
2975,SLC35F4
2976,AL161804.1
2977,KIAA0586
2978,LINC01500
2979,DAAM1
2980,CCDC175
2981,RTN1
2982,LRRC9
2983,AL157911.1
2984,PCNX4
2985,MNAT1
2986,AL359220.1
2987,LINC01303
2988,AL355916.1
2989,HIF1A
2990,SYT16
2991,SGPP1
2992,PPP1R36
2993,AL049869.2
2994,FUT8
2995,AL359232.1
2996,GPHN
2997,RAD51B
2998,ZFP36L1
2999,GALNT16
3000,SMOC1
3001,SLC8A3
3002,AL356804.1
3003,AL357153.2
3004,AC004817.3
3005,AC004817.5
3006,SIPA1L1
3007,DPF3
3008,AL442663.3
3009,LIN52
3010,VSX2
3011,LTBP2
3012,FOS
3013,LINC01220
3014,FLVCR2
3015,TTLL5
3016,ESRRB
3017,AC007376.2
3018,LINC01629
3019,NOXRED1
3020,AC008056.1
3021,DIO2
3022,CEP128
3023,TSHR
3024,AC007262.2
3025,STON2
3026,AL355838.1
3027,LINC02301
3028,LINC02328
3029,LINC02296
3030,LINC01146
3031,SPATA7
3032,PTPN21
3033,EML5
3034,TTC8
3035,EFCAB11
3036,KCNK13
3037,RPS6KA5
3038,AL133153.2
3039,CATSPERB
3040,TC2N
3041,RIN3
3042,FAM181A-AS1
3043,PPP4R4
3044,AL133467.2
3045,AL139020.1
3046,LINC02299
3047,LINC02291
3048,LINC01550
3049,AL163932.1
3050,BCL11B
3051,AL110504.1
3052,CYP46A1
3053,WARS
3054,MEG3
3055,LINC02320
3056,TMEM179
3057,AL512356.4
3058,IGHE
3059,IGHG4
3060,IGHG2
3061,IGHG1
3062,IGHG3
3063,IGHM
3064,IGHV3-32
3065,IGHV4-34
3066,IGHV4-39
3067,LINC00221
3068,IGHVIII-76-1
3069,LINC01193
3070,MKRN3
3071,AC087490.1
3072,PWRN1
3073,ATP10A
3074,AC016266.1
3075,GABRB3
3076,GABRG3-AS1
3077,GOLGA6L7
3078,APBA2
3079,LINC02249
3080,ARHGAP11B
3081,OTUD7A
3082,FMN1
3083,AVEN
3084,SLC12A6
3085,AC021231.1
3086,DPH6
3087,DPH6-DT
3088,C15orf41
3089,AC068875.1
3090,LINC02345
3091,SPRED1
3092,LINC02694
3093,AC013652.1
3094,FSIP1
3095,GPR176
3096,AC021755.3
3097,DISP2
3098,KNL1
3099,RAD51
3100,TYRO3
3101,GANC
3102,AC018362.1
3103,STARD9
3104,PPIP5K1
3105,STRC
3106,FRMD5
3107,AC025430.1
3108,PATL2
3109,DUOXA1
3110,AC051619.7
3111,AC051619.8
3112,AC025580.2
3113,AC090527.3
3114,SEMA6D
3115,SLC24A5
3116,FAM227B
3117,ATP8B4
3118,GABPB1
3119,AC084756.1
3120,MIR4713HG
3121,AC066613.2
3122,DMXL2
3123,AC026770.1
3124,CERNA1
3125,MYO5A
3126,FAM214A
3127,RAB27A
3128,DNAAF4
3129,NEDD4
3130,RFX7
3131,TEX9
3132,AC068726.1
3133,AC090518.1
3134,AC090517.5
3135,CGNL1
3136,ALDH1A2
3137,LIPC
3138,AC090515.6
3139,AC090515.4
3140,MYO1E
3141,AC092755.1
3142,RORA
3143,RAB8B
3144,DAPK2
3145,ZNF609
3146,AC091231.1
3147,AC069368.2
3148,IGDCC4
3149,DENND4A
3150,LCTL
3151,SMAD3
3152,IQCH
3153,IQCH-AS1
3154,MAP2K5
3155,SPESP1
3156,GLCE
3157,PAQR5
3158,AC027237.2
3159,DRAIC
3160,UACA
3161,MYO9A
3162,AC103874.1
3163,NEO1
3164,PPCDC
3165,NRG4
3166,PEAK1
3167,AC090607.1
3168,AC027228.1
3169,ANKRD34C-AS1
3170,TMED3
3171,AC021483.1
3172,AC023302.1
3173,AC068870.1
3174,CFAP161
3175,TMC3-AS1
3176,AC104041.1
3177,CPEB1
3178,HOMER2
3179,HDGFL3
3180,AC048382.6
3181,AC012291.3
3182,PDE8A
3183,AC021739.5
3184,AC020687.1
3185,NTRK3
3186,NTRK3-AS1
3187,LINC01586
3188,AC013391.2
3189,WDR93
3190,MESP1
3191,ANPEP
3192,AC104035.1
3193,AC107958.2
3194,SLCO3A1
3195,AC091544.4
3196,FAM174B
3197,RGMA
3198,AC091078.1
3199,MCTP2
3200,LINC02253
3201,AC020704.1
3202,LINC00923
3203,IGF1R
3204,AC036108.1
3205,SYNM
3206,TTC23
3207,LRRC28
3208,LINC02244
3209,MEF2A
3210,AC090825.1
3211,ADAMTS17
3212,CERS3
3213,LRRK1
3214,AC023024.1
3215,PCSK6
3216,LINC00235
3217,Z97986.1
3218,RHBDL1
3219,AL031008.1
3220,BAIAP3
3221,AL032819.1
3222,NPW
3223,IL32
3224,ZNF205
3225,ADCY9
3226,SRL
3227,C16orf96
3228,LINC02177
3229,AC012178.1
3230,ATF7IP2
3231,CIITA
3232,AC099489.1
3233,AC007216.4
3234,SNX29
3235,CPPED1
3236,AC109597.2
3237,U91319.1
3238,MRTFB
3239,NPIPA3
3240,XYLT1
3241,SYT17
3242,AC130456.5
3243,IQCK
3244,GPR139
3245,ACSM3
3246,MOSMO
3247,SDR42E2
3248,HS3ST2
3249,PRKCB
3250,CACNG3
3251,SLC5A11
3252,AQP8
3253,NSMCE1-DT
3254,IL4R
3255,IL21R
3256,IL21R-AS1
3257,GSG1L
3258,AC145285.6
3259,SULT1A4
3260,AC009133.4
3261,AC093512.2
3262,TRIM72
3263,ITGAM
3264,ITGAX
3265,SLC5A2
3266,AC002519.1
3267,MYLK3
3268,AC018845.1
3269,NETO2
3270,ITFG1
3271,AC007611.1
3272,ZNF423
3273,AC007610.1
3274,LINC02128
3275,AC007497.2
3276,FTO
3277,AC007496.2
3278,LPCAT2
3279,AC040168.1
3280,GNAO1
3281,AC106779.1
3282,CCL22
3283,CCL17
3284,ADGRG5
3285,ADGRG3
3286,AC092118.2
3287,MMP15
3288,AC009107.1
3289,LINC02137
3290,AC106793.1
3291,AC009081.2
3292,LINC00922
3293,BEAN1
3294,AC010542.4
3295,CMTM4
3296,TERB1
3297,LRRC36
3298,AC027682.1
3299,TSNAXIP1
3300,DPEP3
3301,CDH3
3302,CDH1
3303,NFAT5
3304,HYDIN
3305,LINC02136
3306,CHST4
3307,AC009097.3
3308,AC009127.1
3309,LINC01572
3310,AC004943.2
3311,ZFHX3
3312,AC138627.1
3313,AC009120.4
3314,CLEC18B
3315,ZNRF1
3316,CHST5
3317,AC106729.1
3318,WWOX
3319,MAF
3320,MAFTRR
3321,AC105411.1
3322,CDYL2
3323,ARLNC1
3324,AC092718.6
3325,BCO1
3326,GAN
3327,PLCG2
3328,AC092142.1
3329,AC009123.1
3330,ATP2C2
3331,AC092127.2
3332,AC018695.9
3333,IRF8
3334,AC126696.3
3335,SLC22A31
3336,AC092120.1
3337,TUBB3
3338,DOC2B
3339,AC090617.3
3340,AC005696.3
3341,AC005696.4
3342,RAP1GAP2
3343,OR3A2
3344,AC091153.3
3345,C17orf107
3346,PFN1
3347,USP6
3348,WSCD1
3349,XAF1
3350,ALOX12-AS1
3351,AC129492.1
3352,PIK3R5
3353,NTN1
3354,STX8
3355,USP43
3356,GAS7
3357,TMEM220-AS1
3358,PIRT
3359,AC015908.2
3360,COX10-AS1
3361,AC005304.3
3362,AC005224.2
3363,AC022816.1
3364,FAM106C
3365,TNFRSF13B
3366,RASD1
3367,AC122129.2
3368,RNF112
3369,SPECC1
3370,CCDC144NL
3371,DHRS7B
3372,AC233702.7
3373,NOS2
3374,NLK
3375,FOXN1
3376,EFCAB5
3377,AC130324.2
3378,NF1
3379,AC007923.4
3380,MYO1D
3381,CCL7
3382,CCL8
3383,CCL1
3384,SLC35G3
3385,AC015911.2
3386,AC015911.6
3387,GAS2L2
3388,CCL5
3389,AC244100.3
3390,AC244100.4
3391,AC243829.4
3392,CCL3
3393,CCL4
3394,AC243829.2
3395,AC243829.1
3396,CCL3L1
3397,CCL4L2
3398,ACACA
3399,STAC2
3400,FBXL20
3401,IKZF3
3402,AC090844.2
3403,TNS4
3404,AC004231.1
3405,KRTAP16-1
3406,HSPB9
3407,AC099811.3
3408,MEOX1
3409,MPP3
3410,MAPT-AS1
3411,AC018521.7
3412,SKAP1
3413,TTLL6
3414,IGF2BP1
3415,AC002401.4
3416,COL1A1
3417,AC021491.1
3418,AC021491.2
3419,TOB1-AS1
3420,LINC02073
3421,STXBP4
3422,HLF
3423,LPO
3424,RNF43
3425,HSF5
3426,GDPD1
3427,BCAS3
3428,BRIP1
3429,MARCH10
3430,TANC2
3431,GH1
3432,ERN1
3433,PECAM1
3434,SMURF2
3435,CEP112
3436,PRKCA
3437,PITPNC1
3438,LINC01482
3439,ABCA10
3440,MAP2K6
3441,LINC01483
3442,LINC00511
3443,SLC39A11
3444,SDK2
3445,LINC00469
3446,CD300LB
3447,CDR2L
3448,ITGB4
3449,RNF157
3450,CYGB
3451,AC015802.5
3452,AC016168.2
3453,AC111182.2
3454,AC021683.3
3455,BIRC5
3456,NPTX1
3457,AC127496.1
3458,PVALEF
3459,AC027601.6
3460,ACTG1
3461,AC145207.1
3462,DCXR-DT
3463,AC132872.5
3464,LINC01970
3465,AC132938.2
3466,AC132938.6
3467,AC124283.3
3468,AC130371.1
3469,AC144831.1
3470,YES1
3471,AP000894.4
3472,AP000829.1
3473,LINC00470
3474,AP005230.1
3475,MYOM1
3476,AP005329.1
3477,AP001025.1
3478,DLGAP1
3479,AP005203.1
3480,AKAIN1
3481,EPB41L3
3482,AP005059.2
3483,L3MBTL4
3484,PTPRM
3485,AP001793.1
3486,TWSG1
3487,AP001033.3
3488,PPP4R1-AS1
3489,GNAL
3490,SPIRE1
3491,AP002449.1
3492,LDLRAD4
3493,ABHD3
3494,MIB1
3495,RBBP8
3496,CABLES1
3497,TMEM241
3498,OSBPL1A
3499,AC018697.1
3500,ZNF521
3501,PSMA8
3502,TAF4B
3503,CHST9
3504,AC090403.1
3505,CDH2
3506,DSC1
3507,B4GALT6
3508,RNF125
3509,GAREM1
3510,MEP1B
3511,KLHL14
3512,DTNA
3513,KIAA1328
3514,MIR924HG
3515,AC021504.1
3516,LINC00907
3517,LINC01478
3518,SETBP1
3519,SLC14A2-AS1
3520,AC091151.5
3521,SLC14A1
3522,PSTPIP2
3523,RNF165
3524,LOXHD1
3525,ST8SIA5
3526,RAB27B
3527,CCDC68
3528,TCF4
3529,AC100847.1
3530,AC027097.2
3531,NEDD4L
3532,AC104971.1
3533,AC016229.2
3534,CCBE1
3535,RNF152
3536,PIGN
3537,TNFRSF11A
3538,AC064801.1
3539,PHLPP1
3540,BCL2
3541,LINC01924
3542,AC005909.2
3543,CCDC102B
3544,AC096708.3
3545,AC119868.2
3546,CD226
3547,RTTN
3548,AC069114.1
3549,NETO1
3550,AC090125.1
3551,ZNF407
3552,AC009716.1
3553,AC124254.2
3554,AC068473.3
3555,AC068473.1
3556,PLPP2
3557,PRSS57
3558,AC005329.2
3559,ATP8B3
3560,GNG7
3561,AC092068.1
3562,DIRAS1
3563,AC006538.1
3564,KF456478.1
3565,AC010649.1
3566,AC011498.1
3567,AC005339.1
3568,RFX2
3569,AC010503.1
3570,INSR
3571,FCER2
3572,CD209
3573,AC010336.3
3574,FBN3
3575,MYO1F
3576,AC011451.4
3577,COL5A3
3578,AC011511.5
3579,ICAM4
3580,PDE4A
3581,AP1M2
3582,SPC24
3583,KANK2
3584,AC018761.1
3585,THSD8
3586,AC005546.1
3587,AC022098.4
3588,LINC01842
3589,ADGRE5
3590,OR7C1
3591,CYP4F3
3592,AC020911.2
3593,AC008764.5
3594,AC010463.3
3595,PLVAP
3596,KCNN1
3597,PDE4C
3598,LRRC25
3599,LINC00664
3600,ZNF208
3601,ZNF98
3602,LINC00662
3603,AC005580.1
3604,AC008507.5
3605,TSHZ3
3606,DPY19L3
3607,AC008474.1
3608,AC008736.1
3609,AC008805.2
3610,CEBPA
3611,WTIP
3612,SCGB2B2
3613,AC020907.3
3614,AC002128.2
3615,FFAR2
3616,DMKN
3617,KIRREL2
3618,TYROBP
3619,AD001527.1
3620,AC092295.2
3621,AC016590.3
3622,AC011479.3
3623,RYR1
3624,AC008649.1
3625,FBXO27
3626,LGALS14
3627,CLC
3628,FCGBP
3629,CNTD2
3630,CD79A
3631,LIPE-AS1
3632,L34079.3
3633,LYPD5
3634,AC243964.3
3635,EXOC3L2
3636,FOSB
3637,SIX5
3638,PGLYRP1
3639,DACT3
3640,MEIS3
3641,SULT2A1
3642,HSD17B14
3643,DHDH
3644,MYBPC2
3645,FAM71E1
3646,SHANK1
3647,NKG7
3648,C19orf84
3649,FPR3
3650,ZNF534
3651,PRKCG
3652,VSTM1
3653,AC245052.4
3654,AC245884.1
3655,KIR2DL4
3656,NCR1
3657,EPS8L1
3658,DNAAF3
3659,SSC5D
3660,AC008735.4
3661,LINC01864
3662,ZSCAN5A
3663,AC006116.8
3664,AC006116.10
3665,AC005498.2
3666,SMIM17
3667,AC006115.2
3668,ZSCAN4
3669,AC012313.2
3670,AC012313.8
3671,AL110114.1
3672,SIRPB1
3673,AL109809.5
3674,TGM3
3675,TMC2
3676,AL049712.1
3677,C20orf194
3678,ATRN
3679,SPEF1
3680,AL031670.1
3681,RNF24
3682,AL121890.2
3683,SHLD1
3684,AL021396.1
3685,PLCB1
3686,PLCB4
3687,SLX4IP
3688,SPTLC3
3689,MACROD2
3690,AL079338.1
3691,OTOR
3692,SLC24A3
3693,RIN2
3694,AL158013.1
3695,LINC01727
3696,LINC01726
3697,LINC01427
3698,AL158175.1
3699,THBD
3700,CST7
3701,ZNF337-AS1
3702,AL031673.1
3703,FAM242A
3704,BCL2L1
3705,AL034550.1
3706,CBFA2T2
3707,GDF5
3708,AL035420.1
3709,MYL9
3710,ADIG
3711,PPP1R16B
3712,AL023803.1
3713,MAFB
3714,ZHX3
3715,LPIN3
3716,TOX2
3717,PKIG
3718,KCNK15-AS1
3719,CD40
3720,SLC13A3
3721,AL031666.2
3722,PREX1
3723,CSE1L-AS1
3724,KCNB1
3725,B4GALT5
3726,ATP9A
3727,SALL4
3728,LINC01524
3729,TSHZ2
3730,AL109930.1
3731,AL354993.2
3732,DOK5
3733,NKILA
3734,AL109840.2
3735,ZNF831
3736,EDN3
3737,SYCP2
3738,CDH26
3739,AL132822.1
3740,MIR646HG
3741,AL096828.5
3742,FNDC11
3743,AL121845.4
3744,CU633967.1
3745,AP003900.1
3746,AP001347.1
3747,LIPI
3748,SAMSN1
3749,AF127936.2
3750,LINC02246
3751,NRIP1
3752,AJ009632.2
3753,MIR99AHG
3754,CHODL
3755,NCAM2
3756,AP000561.1
3757,LINC01684
3758,AP000146.1
3759,AP000233.2
3760,AP001341.1
3761,LINC00158
3762,MIR155HG
3763,APP
3764,CYYR1
3765,LINC01695
3766,AF165147.1
3767,MAP3K7CL
3768,BACH1
3769,GRIK1-AS1
3770,TIAM1
3771,LINC00159
3772,C21orf62-AS1
3773,ITSN1
3774,LINC00310
3775,AP000317.1
3776,AP000320.1
3777,KCNE2
3778,RCAN1
3779,RUNX1
3780,CLDN14
3781,HLCS
3782,AP000704.1
3783,AP001437.1
3784,KCNJ15
3785,ERG
3786,LINC00114
3787,AF064858.1
3788,BRWD1-AS1
3789,ABCG1
3790,AP001059.1
3791,LINC00334
3792,PCBP3
3793,AL133492.1
3794,AJ011932.1
3795,AC006946.2
3796,HDHD5-AS1
3797,CECR2
3798,MICAL3
3799,AC016026.2
3800,CLTCL1
3801,AC000085.1
3802,AC000068.2
3803,ARVCF
3804,RTN4R
3805,SCARF2
3806,AC002472.1
3807,AC245060.5
3808,IGLV1-47
3809,IGLC1
3810,IGLC2
3811,IGLC3
3812,RSPH14
3813,KIAA1671
3814,AL022323.4
3815,Z99916.1
3816,GRK3
3817,MYO18B
3818,MIAT
3819,TTC28
3820,ZNRF3
3821,EMID1
3822,RFPL1S
3823,HORMAD2
3824,LIF
3825,AC004832.4
3826,AC004832.6
3827,SEC14L3
3828,OSBP2
3829,C22orf24
3830,RFPL2
3831,SLC5A4-AS1
3832,SLC5A4
3833,SYN3
3834,LARGE1
3835,Z82244.2
3836,MB
3837,APOL5
3838,RBFOX2
3839,FO393418.1
3840,AL022313.2
3841,CACNG2
3842,IL2RB
3843,FP325335.1
3844,LGALS1
3845,AL022318.5
3846,APOBEC3G
3847,PDGFB
3848,ENTHD1
3849,GRAP2
3850,Z99716.2
3851,A4GALT
3852,MPPED1
3853,EFCAB6
3854,LINC00899
3855,PKDREJ
3856,LINC01644
3857,BX539320.1
3858,MOV10L1
3859,SYCE3
3860,CRLF2
3861,AL683807.2
3862,XG
3863,GYG2
3864,NLGN4X
3865,PUDP
3866,STS
3867,AC079142.1
3868,TBL1X
3869,AC003666.1
3870,MID1
3871,AC073529.1
3872,ARHGAP6
3873,FRMPD4
3874,LINC01203
3875,EGFL6
3876,AC003035.1
3877,GLRA2
3878,ASB9
3879,VEGFD
3880,PIR
3881,CLTRN
3882,GRPR
3883,REPS2
3884,BEND2
3885,SCML2
3886,CDKL5
3887,AL732509.1
3888,MAP7D2
3889,AL807742.1
3890,CNKSR2
3891,PHEX
3892,PTCHD1-AS
3893,AC092832.2
3894,AC131011.1
3895,POLA1
3896,GK
3897,DMD
3898,CFAP47
3899,AL592156.2
3900,CYBB
3901,TSPAN7
3902,AC108879.1
3903,AL592164.1
3904,NYX
3905,CASK
3906,Z93403.1
3907,Z94277.1
3908,AL023574.1
3909,EFHC2
3910,AC136489.1
3911,LINC01204
3912,MIR222HG
3913,SLC9A7
3914,JADE3
3915,SYN1
3916,FOXP3
3917,AC232271.3
3918,GAGE10
3919,CCNB3
3920,AC233976.1
3921,AL158055.1
3922,MAGED1
3923,AC231759.2
3924,IQSEC2
3925,WNK3
3926,PAGE2B
3927,AL050309.1
3928,AL022157.1
3929,FAAH2
3930,LINC01278
3931,ZC4H2
3932,ZC3H12B
3933,AL034397.2
3934,AL034397.3
3935,VSIG4
3936,HEPH
3937,EDA2R
3938,OPHN1
3939,EDA
3940,IGBP1-AS1
3941,DGAT2L6
3942,HDAC8
3943,SLC16A2
3944,NEXMIF
3945,AC233296.1
3946,CYSLTR1
3947,LPAR4
3948,HMGN5
3949,HDX
3950,APOOL
3951,POF1B
3952,DACH2
3953,KLHL4
3954,FAM133A
3955,DIAPH2
3956,SYTL4
3957,ARMCX4
3958,AC234775.4
3959,ARMCX5-GPRASP2
3960,GPRASP2
3961,LINC00630
3962,H2BFM
3963,IL1RAPL2
3964,NRK
3965,RADX
3966,FRMPD3
3967,GUCY2F
3968,KCNE5
3969,TMEM164
3970,PAK3
3971,XACT
3972,DANT2
3973,KLHL13
3974,IL13RA1
3975,TMEM255A
3976,GRIA3
3977,TENM1
3978,AL008633.1
3979,AL022162.1
3980,ENOX2
3981,IGSF1
3982,FIRRE
3983,RAP2C-AS1
3984,MBNL3
3985,HS6ST2
3986,GPC3
3987,PLAC1
3988,ZNF75D
3989,MCF2
3990,SPANXA2-OT1
3991,AFF2
3992,LINC00894
3993,MAMLD1
3994,PNMA6F
3995,GAB3
3996,F8
3997,CLIC2
3998,AC006040.1
3999,AC011751.1
